month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state,township,village_tract_town,village_ward,idp_camp_site_name,specify_location,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,child_male,child_female,adult_male,adult_female,elderly_male,elderly_female,reached_households,reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code,location,date,admin4_pcode,total_value_usd,admin3_pcode_old
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Hpon Nyo Leik,Ward (9),NA,NA,"Hpon Nyo LeikWard (9)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,9.079799445,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,266,289,NA,NA,97,555,555,5.55,8.325,13.875,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Hpon Nyo Leik,org_8004,org_2690,Ward (9),2022-01-01,MMR012010051,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Ka Nyin Chaung,Kin Chaung,NA,NA,"Ka Nyin ChaungKin Chaungfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.8977598840000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,56,60,NA,NA,20,116,116,1.16,1.74,2.9,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Ka Nyin Chaung,org_3486,org_2690,Kin Chaung,2022-01-01,MMR012010029,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Ka Nyin Chaung,Min Hla Kaing,NA,NA,"Ka Nyin ChaungMin Hla Kaingfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,4.9079996999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,144,156,NA,NA,53,300,300,3,4.5,7.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Ka Nyin Chaung,org_3486,org_2690,Min Hla Kaing,2022-01-01,MMR012010029,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kin Taung (a) Kyar Nyo Pyin,Bar Ri Zar,NA,NA,"Kin Taung (a) Kyar Nyo PyinBar Ri Zarfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.59919978,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,106,114,NA,NA,39,220,220,2.2,3.3,5.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kin Taung (a) Kyar Nyo Pyin,org_3486,org_2690,Bar Ri Zar,2022-01-01,MMR012010047,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kin Taung (a) Kyar Nyo Pyin,Done Thein,NA,NA,"Kin Taung (a) Kyar Nyo PyinDone Theinfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.680999775,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,108,117,NA,NA,39,225,225,2.25,3.375,5.625,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kin Taung (a) Kyar Nyo Pyin,org_3486,org_2690,Done Thein,2022-01-01,MMR012010047,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kin Taung (a) Kyar Nyo Pyin,Kin Taung,NA,NA,"Kin Taung (a) Kyar Nyo PyinKin Taungfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,83.4359949,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,2448,2652,NA,NA,895,5100,5100,51,76.5,127.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kin Taung (a) Kyar Nyo Pyin,org_3486,org_2690,Kin Taung,2022-01-01,MMR012010047,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Hpyu Thar Thay Kan,Gone Nar,NA,NA,"Kyauk Hpyu Thar Thay KanGone Narfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,10.30679937,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,302,328,NA,NA,111,630,630,6.3,9.45,15.75,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Hpyu Thar Thay Kan,org_8004,org_2690,Gone Nar,2022-01-01,MMR012010067,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Hpyu Thar Thay Kan,Thay Kan (Muslim),NA,NA,"Kyauk Hpyu Thar Thay KanThay Kan (Muslim)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,22.57679862,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,662,718,NA,NA,242,1380,1380,13.8,20.7,34.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Hpyu Thar Thay Kan,org_8004,org_2690,Thay Kan (Muslim),2022-01-01,MMR012010067,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Hpyu Thar Thay Kan,Thay Kan (Rakhine),NA,NA,"Kyauk Hpyu Thar Thay KanThay Kan (Rakhine)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,1.47239991,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,43,47,NA,NA,16,90,90,0.9,1.35,2.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Hpyu Thar Thay Kan,org_8004,org_2690,Thay Kan (Rakhine),2022-01-01,MMR012010067,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Yant,Kyauk Yant (Rakhine),NA,NA,"Kyauk YantKyauk Yant (Rakhine)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.7811998300000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,82,88,NA,NA,30,170,170,1.7,2.55,4.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Yant,org_8004,org_2690,Kyauk Yant (Rakhine),2022-01-01,NA,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Yant,Na Nwin Ku,NA,NA,"Kyauk YantNa Nwin Kufood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,15.37839906,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,451,489,NA,NA,165,940,940,9.4,14.1,23.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Yant,org_8004,org_2690,Na Nwin Ku,2022-01-01,NA,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Yant,Taung,NA,NA,"Kyauk YantTaungfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,9.48879942,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,278,302,NA,NA,102,580,580,5.8,8.7,14.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Yant,org_8004,org_2690,Taung,2022-01-01,NA,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Kyauk Yant,Teik Tu Pauk,NA,NA,"Kyauk YantTeik Tu Paukfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,49.734396960000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,1459,1581,NA,NA,533,3040,3040,30.4,45.6,76,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Kyauk Yant,org_8004,org_2690,Teik Tu Pauk,2022-01-01,NA,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Lay Myo,Chaung Pauk,NA,NA,"Lay MyoChaung Paukfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,11.28839931,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,331,359,NA,NA,121,690,690,6.9,10.35,17.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Lay Myo,org_3486,org_2690,Chaung Pauk,2022-01-01,MMR012010050,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Lay Myo,Kyar Nyo Pyin (Muslim),NA,NA,"Lay MyoKyar Nyo Pyin (Muslim)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,9.570599415,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,280,305,NA,NA,103,585,585,5.8500000000000005,8.775,14.625,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Lay Myo,org_3486,org_2690,Kyar Nyo Pyin (Muslim),2022-01-01,MMR012010050,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Lay Myo,Kyar Nyo Pyin (Rakhine),NA,NA,"Lay MyoKyar Nyo Pyin (Rakhine)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,5.88959964,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,172,188,NA,NA,63,360,360,3.6,5.3999999999999995,9,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Lay Myo,org_3486,org_2690,Kyar Nyo Pyin (Rakhine),2022-01-01,MMR012010050,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Lay Myo,Pyar (Yi) Yae,NA,NA,"Lay MyoPyar (Yi) Yaefood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,0.130879992,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,4,4,NA,NA,1,8,8,0.08,0.12,0.2,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Lay Myo,org_3486,org_2690,Pyar (Yi) Yae,2022-01-01,MMR012010050,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Done Chaung,NA,NA,"Let Wea Det Pyin SheyDone Chaungfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,16.19639901,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,475,515,NA,NA,174,990,990,9.9,14.85,24.75,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Done Chaung,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Gandamar (NaTaLa),NA,NA,"Let Wea Det Pyin SheyGandamar (NaTaLa)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,5.725999649999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,168,182,NA,NA,61,350,350,3.5,5.25,8.75,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Gandamar (NaTaLa),2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Htin Shar Pyin,NA,NA,"Let Wea Det Pyin SheyHtin Shar Pyinfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,5.31959814,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,892,968,NA,NA,326,1860,1860,18.6,27.9,46.5,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Htin Shar Pyin,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Inn Hpauk,NA,NA,"Let Wea Det Pyin SheyInn Hpaukfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,0.45759984,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,76,84,NA,NA,28,160,160,1.6,2.4,4,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Inn Hpauk,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Kyauk Hla Pyin,NA,NA,"Let Wea Det Pyin SheyKyauk Hla Pyinfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,5.00499825,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,840,910,NA,NA,307,1750,1750,17.5,26.25,43.75,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Kyauk Hla Pyin,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Let Wea Det,NA,NA,"Let Wea Det Pyin SheyLet Wea Detfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,2.1267998699999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,62,68,NA,NA,23,130,130,1.3,1.95,3.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Let Wea Det,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Maw Ni Ku,NA,NA,"Let Wea Det Pyin SheyMaw Ni Kufood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,6.707599589999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,197,213,NA,NA,72,410,410,4.1,6.1499999999999995,10.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Maw Ni Ku,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Sa Bay Taung,NA,NA,"Let Wea Det Pyin SheySa Bay Taungfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,5.480599665,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,161,174,NA,NA,59,335,335,3.35,5.0249999999999995,8.375,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Sa Bay Taung,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Thit Taw Ywar,NA,NA,"Let Wea Det Pyin SheyThit Taw Ywarfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,3.517399785,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,103,112,NA,NA,38,215,215,2.15,3.225,5.375,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Thit Taw Ywar,2022-01-01,MMR012010035,NA,MMR012010
January 2022,NA,UN agency,NNGO,Rakhine,Buthidaung,Let Wea Det Pyin Shey,Ywar Thit,NA,NA,"Let Wea Det Pyin SheyYwar Thitfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,In-kind,Food Baskets,MT,33.53799795,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rakhine Stateless,NA,NA,984,1066,NA,NA,360,2050,2050,20.5,30.75,51.25,NA,NA,NA,MMR012,NA,MMR012010,Rakhine-Buthidaung,Buthidaung-Let Wea Det Pyin Shey,org_3486,org_2690,Ywar Thit,2022-01-01,MMR012010035,NA,MMR012010
